MetricId,Entity,Status,Columns,Sample,Error
RecoPosEner,Recurso,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Recurso', 'Values_code': 'ALBG', 'Values_Hour01': 2809.0, 'Values_Hour02': 2348.0, 'Values_Hour03': 844.0, 'Values_Hour04': 316.0, 'Values_Hour05': nan, 'Values_Hour06': nan, 'Values_Hour07': nan, 'Values_Hour08': 592.0, 'Values_Hour09': nan, 'Values_Hour10': nan, 'Values_Hour11': nan, 'Values_Hour12': nan, 'Values_Hour13': nan, 'Values_Hour14': nan, 'Values_Hour15': nan, 'Values_Hour16': nan, 'Values_Hour17': nan, 'Values_Hour18': nan, 'Values_Hour19': nan, 'Values_Hour20': nan, 'Values_Hour21': nan, 'Values_Hour22': nan, 'Values_Hour23': nan, 'Values_Hour24': nan, 'Date': Timestamp('2024-01-01 00:00:00')}]",
RecoNegEner,Recurso,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Recurso', 'Values_code': 'ALBG', 'Values_Hour01': nan, 'Values_Hour02': nan, 'Values_Hour03': nan, 'Values_Hour04': nan, 'Values_Hour05': 1800.0, 'Values_Hour06': 1879.0, 'Values_Hour07': 124.0, 'Values_Hour08': nan, 'Values_Hour09': 635.0, 'Values_Hour10': 1187.0, 'Values_Hour11': 1173.0, 'Values_Hour12': 1222.0, 'Values_Hour13': 1254.0, 'Values_Hour14': 1294.0, 'Values_Hour15': 1252.0, 'Values_Hour16': 1338.0, 'Values_Hour17': 1518.0, 'Values_Hour18': 1363.0, 'Values_Hour19': 1626.0, 'Values_Hour20': 1532.0, 'Values_Hour21': 2267.0, 'Values_Hour22': 2150.0, 'Values_Hour23': 1228.0, 'Values_Hour24': 2042.0, 'Date': Timestamp('2024-01-01 00:00:00')}]",
RespComerAGC,Sistema,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Sistema', 'Values_code': 'Sistema', 'Values_Hour01': 31550587.6, 'Values_Hour02': 38384508.04, 'Values_Hour03': 44903772.37, 'Values_Hour04': 59419177.68, 'Values_Hour05': 65093117.63, 'Values_Hour06': 56537862.86, 'Values_Hour07': 50367140.69, 'Values_Hour08': 52390090.86, 'Values_Hour09': 54743282.06, 'Values_Hour10': 54904311.91, 'Values_Hour11': 54715392.46, 'Values_Hour12': 64965483.85, 'Values_Hour13': 62560077.01, 'Values_Hour14': 55757414.33, 'Values_Hour15': 54900362.76, 'Values_Hour16': 64729252.99, 'Values_Hour17': 63930813.09, 'Values_Hour18': 63165834.65, 'Values_Hour19': 83134960.94, 'Values_Hour20': 52100586.81, 'Values_Hour21': 59560746.15, 'Values_Hour22': 67022074.29, 'Values_Hour23': 69505492.12, 'Values_Hour24': 40269135.36, 'Date': Timestamp('2024-01-01 00:00:00')}]",
DesvEner,Recurso,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Recurso', 'Values_code': 'GE32', 'Values_Hour01': nan, 'Values_Hour02': nan, 'Values_Hour03': nan, 'Values_Hour04': nan, 'Values_Hour05': nan, 'Values_Hour06': nan, 'Values_Hour07': nan, 'Values_Hour08': nan, 'Values_Hour09': nan, 'Values_Hour10': nan, 'Values_Hour11': nan, 'Values_Hour12': nan, 'Values_Hour13': 39205.16, 'Values_Hour14': 44682.89, 'Values_Hour15': 51216.82, 'Values_Hour16': 34742.35, 'Values_Hour17': nan, 'Values_Hour18': nan, 'Values_Hour19': nan, 'Values_Hour20': 20845.12, 'Values_Hour21': nan, 'Values_Hour22': nan, 'Values_Hour23': nan, 'Values_Hour24': nan, 'Date': Timestamp('2024-01-01 00:00:00')}]",
DesvMoneda,Recurso,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Recurso', 'Values_code': 'GE32', 'Values_Hour01': nan, 'Values_Hour02': nan, 'Values_Hour03': nan, 'Values_Hour04': nan, 'Values_Hour05': nan, 'Values_Hour06': nan, 'Values_Hour07': nan, 'Values_Hour08': nan, 'Values_Hour09': nan, 'Values_Hour10': nan, 'Values_Hour11': nan, 'Values_Hour12': nan, 'Values_Hour13': 2818184.38, 'Values_Hour14': 3211940.03, 'Values_Hour15': 3681618.49, 'Values_Hour16': 942108.43, 'Values_Hour17': nan, 'Values_Hour18': nan, 'Values_Hour19': nan, 'Values_Hour20': 1593359.36, 'Values_Hour21': nan, 'Values_Hour22': nan, 'Values_Hour23': nan, 'Values_Hour24': nan, 'Date': Timestamp('2024-01-01 00:00:00')}]",
RecoPosMoneda,Recurso,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Recurso', 'Values_code': 'ALBG', 'Values_Hour01': 699445.51, 'Values_Hour02': 584655.77, 'Values_Hour03': 210157.35, 'Values_Hour04': 88164.51, 'Values_Hour05': nan, 'Values_Hour06': nan, 'Values_Hour07': nan, 'Values_Hour08': 55021.43, 'Values_Hour09': nan, 'Values_Hour10': nan, 'Values_Hour11': nan, 'Values_Hour12': nan, 'Values_Hour13': nan, 'Values_Hour14': nan, 'Values_Hour15': nan, 'Values_Hour16': nan, 'Values_Hour17': nan, 'Values_Hour18': nan, 'Values_Hour19': nan, 'Values_Hour20': nan, 'Values_Hour21': nan, 'Values_Hour22': nan, 'Values_Hour23': nan, 'Values_Hour24': nan, 'Date': Timestamp('2024-01-01 00:00:00')}]",
RecoNegMoneda,Recurso,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Recurso', 'Values_code': 'ALBG', 'Values_Hour01': nan, 'Values_Hour02': nan, 'Values_Hour03': nan, 'Values_Hour04': nan, 'Values_Hour05': 502202.89, 'Values_Hour06': 467874.02, 'Values_Hour07': 18600.2, 'Values_Hour08': nan, 'Values_Hour09': 59017.92, 'Values_Hour10': 110321.69, 'Values_Hour11': 109020.5, 'Values_Hour12': 183301.96, 'Values_Hour13': 188102.01, 'Values_Hour14': 194102.08, 'Values_Hour15': 187802.01, 'Values_Hour16': 333164.15, 'Values_Hour17': 423524.44, 'Values_Hour18': 380279.19, 'Values_Hour19': 485072.56, 'Values_Hour20': 457030.23, 'Values_Hour21': 676297.35, 'Values_Hour22': 641393.6, 'Values_Hour23': 366340.16, 'Values_Hour24': 588099.28, 'Date': Timestamp('2024-01-01 00:00:00')}]",
ExcedenteAGPE,Agente,No data,[],,
DemaComeReg,Agente,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Agente', 'Values_code': 'ASCC', 'Values_Hour01': 1392.89, 'Values_Hour02': 1355.81, 'Values_Hour03': 1331.46, 'Values_Hour04': 1351.72, 'Values_Hour05': 1363.08, 'Values_Hour06': 1388.68, 'Values_Hour07': 1397.16, 'Values_Hour08': 1478.88, 'Values_Hour09': 1553.11, 'Values_Hour10': 1630.88, 'Values_Hour11': 1768.04, 'Values_Hour12': 1909.81, 'Values_Hour13': 1913.65, 'Values_Hour14': 1839.94, 'Values_Hour15': 1812.31, 'Values_Hour16': 1851.86, 'Values_Hour17': 1813.34, 'Values_Hour18': 1822.1, 'Values_Hour19': 1929.82, 'Values_Hour20': 1980.17, 'Values_Hour21': 1927.58, 'Values_Hour22': 1838.8, 'Values_Hour23': 1687.5, 'Values_Hour24': 1505.31, 'Date': Timestamp('2024-01-01 00:00:00')}]",
DemaComeNoReg,Agente,Success,"['Id', 'Values_code', 'Values_Hour01', 'Values_Hour02', 'Values_Hour03', 'Values_Hour04', 'Values_Hour05', 'Values_Hour06', 'Values_Hour07', 'Values_Hour08', 'Values_Hour09', 'Values_Hour10', 'Values_Hour11', 'Values_Hour12', 'Values_Hour13', 'Values_Hour14', 'Values_Hour15', 'Values_Hour16', 'Values_Hour17', 'Values_Hour18', 'Values_Hour19', 'Values_Hour20', 'Values_Hour21', 'Values_Hour22', 'Values_Hour23', 'Values_Hour24', 'Date']","[{'Id': 'Agente', 'Values_code': 'ASCC', 'Values_Hour01': 478.6, 'Values_Hour02': 470.7, 'Values_Hour03': 457.65, 'Values_Hour04': 452.34, 'Values_Hour05': 453.07, 'Values_Hour06': 465.88, 'Values_Hour07': 383.4, 'Values_Hour08': 415.15, 'Values_Hour09': 432.15, 'Values_Hour10': 435.31, 'Values_Hour11': 447.23, 'Values_Hour12': 483.14, 'Values_Hour13': 438.24, 'Values_Hour14': 453.76, 'Values_Hour15': 465.44, 'Values_Hour16': 434.53, 'Values_Hour17': 434.03, 'Values_Hour18': 402.43, 'Values_Hour19': 559.1, 'Values_Hour20': 530.94, 'Values_Hour21': 512.31, 'Values_Hour22': 522.46, 'Values_Hour23': 508.62, 'Values_Hour24': 512.77, 'Date': Timestamp('2024-01-01 00:00:00')}]",
